location,km,annee,marque,model,date,price,carburant,puissance,boite,cylindre,region,city
"Tunis, Autres villes",75000.0,2010.0,Kia,Cerato,5 mars 2021,28000.0,Essence,7.0,Manuelle,1.6,Tunis,Autres villes
"Kairouan, Kairouan",41876.0,2020.0,Renault,Trafic,9 février 2021,37000.0,Essence,2020.0,Noir,Autres,Kairouan,Kairouan
"Ben arous, El Mourouj",65000.0,2016.0,Chery,QQ,9 février 2021,19800.0,Essence,5.0,Bleu,Berline,Ben arous,El Mourouj
"Mahdia, Chebba",340.0,2003.0,BMW,X5,5 mars 2021,32000.0,Diesel,12.0,Gris,4 x 4,Mahdia,Chebba
"Tunis, Autres villes",0.0,2000.0,Opel,Astra,13 mars 2021,5000.0,Diesel,5.0,Blanc,Pick up,Tunis,Autres villes
"Bizerte, Menzel Bourguiba",126.0,2016.0,Fiat,Grande Punto,12 février 2021,22900.0,Essence,4.0,Blanc,Compacte,Bizerte,Menzel Bourguiba
"Tunis, Autres villes",60000.0,2017.0,Chery,QQ,13 mars 2021,21400.0,Essence,4.0,Gris,Autres,Tunis,Autres villes
"Tunis, Autres villes",327000.0,1996.0,Suzuki,Grand Vitara,13 mars 2021,17000.0,Essence,10.0,4 x 4,Manuelle,Tunis,Autres villes
"Tunis, Centre Ville - Lafayette",1200.0,2012.0,Peugeot,3008,13 mars 2021,9000.0,Diesel,111.0,Manuelle,1.6,Tunis,Centre Ville - Lafayette
"Tunis, Le Bardo",8900.0,2017.0,Renault,Symbol,12 mars 2021,38000.0,Essence,5.0,Noir,Berline,Tunis,Le Bardo
"Tunis, Autres villes",252000.0,2007.0,Citroen,C4,13 février 2021,22800.0,Diesel,5.0,Gris,Autres,Tunis,Autres villes
"Kairouan, Sbikha",200.0,1982.0,Audi,80,1 mars 2021,7200.0,Diesel,4.0,Gris,Autres,Kairouan,Sbikha
"Sidi bouzid, Autres villes",300000.0,1988.0,Mercedes-Benz,190,10 février 2021,9000.0,Diesel,7.0,Vert,Berline,Sidi bouzid,Autres villes
"Monastir, Bekalta",180000.0,2010.0,Volkswagen,Golf 6,8 mars 2021,37000.0,Diesel,5.0,Noir,Berline,Monastir,Bekalta
"Monastir, Monastir",68900.0,2017.0,Ford,Fiesta,1 mars 2021,31000.0,Essence,5.0,Marron,Berline,Monastir,Monastir
"Tunis, Le Kram",199000.0,2008.0,Volkswagen,Polo,7 mars 2021,22000.0,Essence,5.0,Bleu,Manuelle,Tunis,Le Kram
"Tunis, Autres villes",220000.0,2004.0,Renault,Megane,4 mars 2021,14800.0,Diesel,5.0,Manuelle,1.5,Tunis,Autres villes
"Ariana, Autres villes",87.0,2016.0,Mazda,2,11 mars 2021,38000.0,Essence,6.0,Gris,Compacte,Ariana,Autres villes
"Tunis, Autres villes",300000.0,1999.0,Volkswagen,Golf 4,28 février 2021,20020.0,Essence,7.0,Bleu,Compacte,Tunis,Autres villes
"Bizerte, Autres villes",300000.0,1994.0,Peugeot,205,8 mars 2021,7200.0,Diesel,5.0,Blanc,Compacte,Bizerte,Autres villes
"Tunis, Autres villes",104000.0,2017.0,Toyota,Yaris,13 mars 2021,39000.0,Essence,5.0,Noir,Berline,Tunis,Autres villes
"Sfax, Sfax Ville",170000.0,2008.0,Volkswagen,Polo,13 mars 2021,20000.0,Essence,5.0,Gris,Compacte,Sfax,Sfax Ville
"Sousse, Autres villes",194000.0,2012.0,Citroen,Berlingo,15 février 2021,28000.0,Diesel,170.0,Blanc,Avec kilométrage,Sousse,Autres villes
"Tunis, Tunis",8000.0,2018.0,Suzuki,XL7,13 mars 2021,46500.0,Essence,5.0,Gris,Berline,Tunis,Tunis
"Monastir, Monastir",79000.0,2019.0,Suzuki,Swift,4 mars 2021,19800.0,Essence,5.0,Gris,Berline,Monastir,Monastir
"Ariana, Ennasr",50.0,2018.0,Renault,Kadjar,1 mars 2021,75000.0,Essence,7.0,Noir,4 x 4,Ariana,Ennasr
"Sfax, Autres villes",12345.0,2002.0,BMW,Serie 5,19 février 2021,12345.0,Essence,11.0,Manuelle,2,Sfax,Autres villes
"Sfax, Autres villes",181000.0,1996.0,Fiat,Punto,13 mars 2021,13000.0,Essence,4.0,Blanc,Compacte,Sfax,Autres villes
"Ben arous, Radès",260.0,2011.0,Dacia,Logan,14 février 2021,12000.0,Diesel,6.0,Blanc,Berline,Ben arous,Radès
"Sousse, Autres villes",217000.0,2009.0,Citroen,C4,15 février 2021,23000.0,Essence,6.0,Gris,Avec kilométrage,Sousse,Autres villes
"Gabès, Gabès",70000.0,2009.0,Citroen,Berlingo,2 mars 2021,26000.0,Diesel,6.0,Gris,Berline,Gabès,Gabès
"Béja, Béja Nord",20000.0,1984.0,Peugeot,504,25 février 2021,2500.0,Diesel,8.0,Gris,Autres,Béja,Béja Nord
"Monastir, Moknine",130000.0,2011.0,Citroen,C3,1 mars 2021,31000.0,Essence,5.0,Rouge,Autres,Monastir,Moknine
"Tozeur, Autres villes",343.0,2006.0,Peugeot,Partner,10 mars 2021,24000.0,Diesel,5.0,Blanc,Compacte,Tozeur,Autres villes
"Tataouine, Autres villes",200000.0,1994.0,Peugeot,106,20 février 2021,8000.0,Essence,4.0,Blanc,Manuelle,Tataouine,Autres villes
"Kairouan, Autres villes",246.0,2013.0,Citroen,Berlingo,25 février 2021,22500.0,Diesel,20170152.0,Blanc,Manuelle,Kairouan,Autres villes
"Sousse, Autres villes",99000.0,1990.0,Renault,Twingo,18 février 2021,1234.0,Essence,12.0,Bleu,Compacte,Sousse,Autres villes
"Zaghouan, Zaghouan",225.0,2009.0,Volkswagen,Passat,15 février 2021,28500.0,Diesel,6.0,Gris,Compacte,Zaghouan,Zaghouan
"Jendouba, Autres villes",70000.0,2011.0,Peugeot,3008,21 février 2021,42500.0,Essence,7.0,Gris,Compacte,Jendouba,Autres villes
"Ariana, Ariana",161000.0,2009.0,Mercedes-Benz,Classe C,7 mars 2021,55000.0,Essence,9.0,Blanc,Berline,Ariana,Ariana
"Ariana, Autres villes",400.0,2007.0,Peugeot,Partner,8 mars 2021,19500.0,Diesel,5.0,Orange,Manuelle,Ariana,Autres villes
"Tunis, Tunis",230000.0,1990.0,Fiat,Uno,3 mars 2021,3200.0,Essence,4.0,Bleu,Compacte,Tunis,Tunis
"Médenine, Autres villes",665.0,2009.0,Mitsubishi,L200,11 mars 2021,1500.0,Diesel,10.0,Manuelle,1.7,Médenine,Autres villes
"Bizerte, Mateur",290000.0,2005.0,Fiat,Uno,13 mars 2021,7000.0,Essence,5.0,Manuelle,1.2,Bizerte,Mateur
"Sousse, Sahloul",377000.0,1994.0,Renault,Safrane,20 février 2021,17500.0,Diesel,6.0,Noir,Compacte,Sousse,Sahloul
"Tunis, Menzah",100300.0,2010.0,Mercedes-Benz,Classe E,13 février 2021,75000.0,Diesel,12.0,Noir,Berline,Tunis,Menzah
"Médenine, Djerba-Houmt Souk",210.0,2010.0,Chevrolet,Aveo,20 février 2021,20000.0,Essence,5.0,Noir,Compacte,Médenine,Djerba-Houmt Souk
"Ariana, Autres villes",0.0,2003.0,Peugeot,206,21 février 2021,16000.0,Essence,4.0,Rouge,Compacte,Ariana,Autres villes
"Tunis, Autres villes",0.0,2005.0,Ford,Fiesta,24 février 2021,14300.0,Essence,5.0,Manuelle,1.2,Tunis,Autres villes
"Tunis, Autres villes",283000.0,1997.0,Mercedes-Benz,250,12 mars 2021,20500.0,Diesel,10.0,Bleu,Berline,Tunis,Autres villes
"Le kef, Kef Est",0.0,1975.0,Peugeot,304,5 mars 2021,3000.0,Essence,7.0,Bleu,Berline,Le kef,Kef Est
"Kairouan, Autres villes",299.0,1990.0,Citroen,AX,9 mars 2021,4500.0,Essence,4500.0,Blanc,4 x 4,Kairouan,Autres villes
"Gabès, Gabès Sud",300000.0,1998.0,Citroen,ZX,10 mars 2021,6000.0,Essence,6.0,Vert,Manuelle,Gabès,Gabès Sud
"Tunis, El Ouardia",240000.0,2009.0,Volkswagen,Golf 6,12 mars 2021,36000.0,Essence,5.0,Bleu,Berline,Tunis,El Ouardia
"Tunis, Autres villes",350000.0,2006.0,Renault,Megane,7 mars 2021,15500.0,Diesel,5.0,Noir,Compacte,Tunis,Autres villes
"Tunis, Autres villes",81000.0,2017.0,Kia,Rio,28 février 2021,43000.0,Essence,5.0,Bleu,Avec kilométrage,Tunis,Autres villes
"Tunis, Autres villes",297.0,1999.0,Peugeot,106,23 février 2021,13000.0,Essence,4.0,Gris,Autres,Tunis,Autres villes
"Médenine, Autres villes",200000.0,2002.0,Rover,75,15 février 2021,15000.0,Essence,7.0,Noir,Berline,Médenine,Autres villes
"Ariana, Autres villes",180000.0,2006.0,Audi,A6,12 mars 2021,39000.0,Diesel,8.0,Automatique,2,Ariana,Autres villes
"Ben arous, Ezzahra",296000.0,1999.0,Peugeot,106,4 mars 2021,14000.0,Essence,4.0,Corail,Berline,Ben arous,Ezzahra
"Nabeul, Autres villes",355000.0,2005.0,Renault,Megane Estate,9 mars 2021,16800.0,Diesel,6.0,Gris,Berline,Nabeul,Autres villes
"Sfax, Autres villes",46500.0,2018.0,Hyundai,Grand i10,12 mars 2021,35000.0,Essence,5.0,Blanc,Compacte,Sfax,Autres villes
"Tunis, Le Bardo",370000.0,2000.0,Citroen,Saxo,1 mars 2021,10500.0,Essence,5.0,Blanc,Compacte,Tunis,Le Bardo
"Tunis, Autres villes",200000.0,2009.0,Autres,Autres,12 février 2021,24800.0,Essence,5.0,Noir,Automatique,Tunis,Autres villes
"Béja, Autres villes",190.0,2007.0,Citroen,C4,10 mars 2021,24000.0,Essence,6.0,Noir,Berline,Béja,Autres villes
"Tunis, Tunis",50000.0,2018.0,Honda,Brio Amaze,2 mars 2021,38000.0,Essence,5.0,Compacte,Avec kilométrage,Tunis,Tunis
"Zaghouan, Autres villes",200000.0,1998.0,Peugeot,206,12 février 2021,15000.0,Essence,6.0,Noir,Berline,Zaghouan,Autres villes
"Béja, Autres villes",180000.0,2008.0,Renault,Clio,12 mars 2021,20500.0,Essence,4.0,Bleu,Cabriolet,Béja,Autres villes
"Kairouan, Kairouan",183000.0,2003.0,Skoda,Fabia,13 mars 2021,17800.0,Essence,5.0,Vert,Compacte,Kairouan,Kairouan
"Bizerte, Menzel Bourguiba",182000.0,2009.0,BMW,Serie 1,13 mars 2021,35000.0,Essence,8.0,Gris,Autres,Bizerte,Menzel Bourguiba
"Ben arous, Hammam Lif",200000.0,2004.0,Volkswagen,Touran,8 mars 2021,1650.0,Diesel,1.0,Autre,Autres,Ben arous,Hammam Lif
"Ben arous, Hammam Chott",175.0,2011.0,Fiat,Grande Punto,7 février 2021,22000.0,Essence,4.0,Rouge,Compacte,Ben arous,Hammam Chott
"Tunis, Autres villes",76000.0,2017.0,Fiat,Fiorino,18 février 2021,27500.0,Diesel,5.0,Gris,Utilitaire,Tunis,Autres villes
"Sfax, Sfax",176000.0,2008.0,Renault,Clio,9 mars 2021,20800.0,Essence,5.0,Bleu,Autres,Sfax,Sfax
"Tunis, Autres villes",200.0,2009.0,Ford,Focus,21 février 2021,24500.0,Essence,6.0,Gris,Berline,Tunis,Autres villes
"Tunis, Cité El Khadra",192000.0,2003.0,Peugeot,206,12 mars 2021,15400.0,Essence,4.0,Noir,Compacte,Tunis,Cité El Khadra
"Tunis, Autres villes",0.0,2021.0,Suzuki,Celerio,9 mars 2021,25000.0,Essence,4.0,Berline,Nouveau,Tunis,Autres villes
"Tunis, Autres villes",0.0,1991.0,Volkswagen,Golf 2,28 février 2021,9000.0,Diesel,5.0,Manuelle,1.4,Tunis,Autres villes
"Bizerte, Sejenane",300000.0,1999.0,Fiat,Scudo,9 février 2021,12500.0,Diesel,6.0,Blanc,Autres,Bizerte,Sejenane
"Tunis, Menzah",190000.0,2013.0,Land Rover,Range Rover Evoque,13 mars 2021,124000.0,Essence,15.0,Gris,4 x 4,Tunis,Menzah
"Tunis, Autres villes",199.0,2001.0,Fiat,Doblo,3 mars 2021,12000.0,Diesel,0.0,Blanc,Autres,Tunis,Autres villes
"Kasserine, Sbeïtla",165000.0,2010.0,Aston Martin,Vantage,9 mars 2021,22000.0,Essence,1.0,Noir,Berline,Kasserine,Sbeïtla
"Sfax, Autres villes",58000.0,2018.0,Suzuki,SX4,8 février 2021,41000.0,Essence,5.0,Gris,Berline,Sfax,Autres villes
"Tunis, Autres villes",117000.0,2016.0,Citroen,Berlingo,16 février 2021,32500.0,Diesel,5.0,Gris,Berline,Tunis,Autres villes
"Ariana, Ettadhamen",0.0,2008.0,Suzuki,X-90,11 mars 2021,1500.0,Essence,1111.0,Jaune,Autres,Ariana,Ettadhamen
"Ben arous, Autres villes",300.0,2001.0,Fiat,Palio,13 mars 2021,15500.0,Essence,4.0,Bleu,Compacte,Ben arous,Autres villes
"Siliana, Autres villes",123456.0,1992.0,Peugeot,305,9 mars 2021,3800.0,Essence,6.0,Manuelle,1.1,Siliana,Autres villes
"Tunis, Cité Olympique",198000.0,2009.0,Fiat,Grande Punto,24 février 2021,18000.0,Essence,5.0,Autre,Berline,Tunis,Cité Olympique
"Tunis, Autres villes",330.0,2000.0,Volkswagen,Golf 4,8 mars 2021,22800.0,Essence,5.0,Manuelle,1.4,Tunis,Autres villes
"Tunis, Tunis",130000.0,2014.0,Opel,Astra,13 mars 2021,38000.0,Essence,8.0,Autre,Berline,Tunis,Tunis
"Jendouba, Autres villes",158000.0,2013.0,Citroen,Berlingo,24 février 2021,26500.0,Diesel,6.0,Noir,Autres,Jendouba,Autres villes
"Tunis, Centre Ville - Lafayette",282000.0,2008.0,Mercedes-Benz,220,9 février 2021,43000.0,Diesel,10.0,Noir,Compacte,Tunis,Centre Ville - Lafayette
"Monastir, Ksibet el-Médiouni",117000.0,2012.0,BMW,Serie 3,2 mars 2021,58000.0,Essence,7.0,Blanc,Berline,Monastir,Ksibet el-Médiouni
"Ariana, Autres villes",190000.0,2000.0,Volkswagen,Polo,13 mars 2021,1111.0,Essence,5.0,Noir,Berline,Ariana,Autres villes
"Kasserine, Kasserine",112000.0,2014.0,Nissan,Micra,13 mars 2021,25000.0,Essence,5.0,Rouge,Compacte,Kasserine,Kasserine
"Sfax, Autres villes",114000.0,2014.0,Citroen,C3,4 mars 2021,10000.0,Essence,5.0,Gris,Compacte,Sfax,Autres villes
"Tunis, L'aouina",117000.0,2014.0,Audi,A4,8 mars 2021,50000.0,Essence,7.0,Noir,Berline,Tunis,L'aouina
"Tunis, Autres villes",217.0,2015.0,Citroen,C-Elysee,6 février 2021,27000.0,Diesel,5.0,Jaune,Berline,Tunis,Autres villes
"Sousse, M'saken",45000.0,1983.0,Mercedes-Benz,210,1 mars 2021,9600.0,Diesel,8.0,Bleu,Berline,Sousse,M'saken
"Ariana, Raoued",147000.0,2014.0,Peugeot,301,11 mars 2021,24200.0,Essence,5.0,Noir,Berline,Ariana,Raoued
"Kasserine, Kasserine Nord",250000.0,2005.0,Renault,Clio,8 mars 2021,21000.0,Essence,4.0,Argent,Berline,Kasserine,Kasserine Nord
"Tunis, Autres villes",255000.0,2006.0,Volkswagen,Polo,28 février 2021,19500.0,Essence,5.0,Manuelle,1.2,Tunis,Autres villes
"Bizerte, Mateur",400000.0,2003.0,Renault,Kangoo,11 mars 2021,8700.0,Diesel,6.0,Blanc,Compacte,Bizerte,Mateur
"Monastir, Autres villes",0.0,1992.0,Peugeot,205,12 mars 2021,4000.0,Diesel,5.0,Bleu,Autres,Monastir,Autres villes
"Sousse, Autres villes",400.0,1982.0,Citroen,Visa,19 février 2021,1200.0,Essence,4.0,Bleu,Monospace,Sousse,Autres villes
"Nabeul, Hammamet Nord",200000.0,2008.0,Peugeot,207,9 mars 2021,23500.0,Essence,6.0,Noir,Compacte,Nabeul,Hammamet Nord
"Sousse, Hammam Sousse",150000.0,2015.0,Peugeot,301,22 février 2021,21000.0,Essence,5.0,Noir,Compacte,Sousse,Hammam Sousse
"Sidi bouzid, Autres villes",170000.0,2010.0,Opel,Astra,20 février 2021,26000.0,Essence,5.0,Gris,Berline,Sidi bouzid,Autres villes
"Sfax, Sakiet Eddaïer",65000.0,1990.0,Ford,Fiesta,11 mars 2021,9000.0,Essence,4.0,Gris,Berline,Sfax,Sakiet Eddaïer
"Ben arous, Ezzahra",293000.0,2007.0,Fiat,Grande Punto,24 février 2021,16000.0,Essence,5.0,Gris,Autres,Ben arous,Ezzahra
"Ariana, Autres villes",275000.0,1990.0,Peugeot,205,6 mars 2021,6100.0,Essence,4.0,Bleu,Berline,Ariana,Autres villes
"Tunis, La Marsa",68000.0,2015.0,Peugeot,208,10 mars 2021,33000.0,Essence,5.0,Noir,Autres,Tunis,La Marsa
"Tunis, La Marsa",50000.0,2001.0,Audi,TTS,24 février 2021,26800.0,Essence,9.0,Gris,Compacte,Tunis,La Marsa
"Tunis, Autres villes",300000.0,2000.0,Volkswagen,Polo,8 février 2021,11000.0,Essence,4.0,Manuelle,1.2,Tunis,Autres villes
"Nabeul, Hammamet",245000.0,2015.0,Citroen,C4,1 mars 2021,49500.0,Diesel,4.0,Gris,Berline,Nabeul,Hammamet
"Tunis, El Ouardia",150000.0,2012.0,Fiat,Grande Punto,15 février 2021,23000.0,Essence,5.0,Gris,Berline,Tunis,El Ouardia
"Béja, Autres villes",275600.0,2005.0,Peugeot,407,9 février 2021,17500.0,Diesel,6.0,Manuelle,1.6,Béja,Autres villes
"Tunis, La Marsa",127500.0,2013.0,Volkswagen,Polo,10 février 2021,29800.0,Essence,5.0,Gris,Compacte,Tunis,La Marsa
"Tunis, Autres villes",200.0,2001.0,Peugeot,406,11 février 2021,15000.0,Diesel,6.0,Noir,Autres,Tunis,Autres villes
"Ben arous, Autres villes",112619.0,1987.0,Volkswagen,Golf 2,15 février 2021,8000.0,Essence,6.0,Blanc,Autres,Ben arous,Autres villes
"Ben arous, Autres villes",250.0,2007.0,Fiat,Siena,11 février 2021,10000.0,Essence,1461.0,Gris,Berline,Ben arous,Autres villes
"Nabeul, Soliman",140.0,2016.0,Volkswagen,Polo,22 février 2021,29900.0,Essence,4.0,Gris,Berline,Nabeul,Soliman
"Gafsa, Autres villes",135.0,2015.0,Renault,Symbol,8 février 2021,23000.0,Essence,5.0,Manuelle,1.2,Gafsa,Autres villes
"Ariana, Autres villes",308.0,1996.0,Peugeot,106,2 mars 2021,9000.0,Essence,5.0,Gris,Compacte,Ariana,Autres villes
"Tunis, El Ouardia",0.0,2000.0,Citroen,Saxo,9 février 2021,9500.0,Essence,4.0,Vert,Compacte,Tunis,El Ouardia
"Ariana, Raoued",250000.0,2012.0,Volkswagen,Golf 6,6 mars 2021,40000.0,Diesel,5.0,Noir,Compacte,Ariana,Raoued
"Ben arous, El Mourouj",79000.0,2015.0,Volkswagen,Golf 7,6 février 2021,65000.0,Essence,5.0,Gris,Berline,Ben arous,El Mourouj
"Nabeul, Autres villes",160000.0,2012.0,Chevrolet,Aveo,2 mars 2021,18500.0,Essence,5.0,Autres,Manuelle,Nabeul,Autres villes
"Monastir, Autres villes",350000.0,2012.0,Citroen,Jumpy,22 février 2021,34000.0,Diesel,7.0,Blanc,Utilitaire,Monastir,Autres villes
"Sousse, Bouficha",190.0,2005.0,Autres,Autres,9 mars 2021,21000.0,Essence,5.0,Gris,Autres,Sousse,Bouficha
"Nabeul, Autres villes",106000.0,2016.0,Ford,Fiesta,12 février 2021,29200.0,Essence,5.0,Doré,Berline,Nabeul,Autres villes
"Tunis, Autres villes",168882.0,2005.0,Volkswagen,Polo,9 mars 2021,17500.0,Essence,5.0,Gris,Manuelle,Tunis,Autres villes
"Sousse, Autres villes",125000.0,2015.0,Hyundai,I 10,10 mars 2021,29000.0,Essence,5.0,Doré,Compacte,Sousse,Autres villes
"Sousse, M'saken",151000.0,2009.0,Renault,Clio,13 mars 2021,25000.0,Diesel,4.0,Bleu,Berline,Sousse,M'saken
"Tunis, Tunis",300000.0,2000.0,Mitsubishi,Pajero,20 février 2021,32000.0,Diesel,11.0,Avec kilométrage,Automatique,Tunis,Tunis
"La manouba, Oued Ellil",200.0,2008.0,Renault,Clio,12 février 2021,23900.0,Essence,4.0,Bleu,Compacte,La manouba,Oued Ellil
"Sidi bouzid, Mezzouna",200000.0,2002.0,Renault,Clio,8 février 2021,17500.0,Essence,4000.0,Berline,Avec kilométrage,Sidi bouzid,Mezzouna
"Sfax, Sfax",130000.0,2013.0,Ford,Mondeo,2 mars 2021,35000.0,Essence,7.0,Autre,Autres,Sfax,Sfax
"Gafsa, Autres villes",182.0,2010.0,Renault,Symbol,9 février 2021,19800.0,Essence,5.0,Manuelle,1.2,Gafsa,Autres villes
"Le kef, Le kef",200.0,2006.0,Citroen,C4,24 février 2021,23000.0,Essence,6.0,Bleu,Avec kilométrage,Le kef,Le kef
"Nabeul, Nabeul",23000.0,2017.0,Peugeot,208,28 février 2021,35500.0,Essence,5.0,Orange,Compacte,Nabeul,Nabeul
"Ariana, Ghazela",323000.0,2004.0,Renault,Laguna,13 février 2021,15000.0,Diesel,6.0,Argent,Berline,Ariana,Ghazela
"Tunis, Autres villes",177000.0,2000.0,Renault,B110,13 mars 2021,7500.0,Essence,4.0,Noir,Autres,Tunis,Autres villes
"Tunis, Autres villes",276000.0,1998.0,Volkswagen,Golf 4,12 mars 2021,13500.0,Diesel,5.0,Noir,Avec kilométrage,Tunis,Autres villes
"Nabeul, Nabeul",360000.0,2011.0,Ssangyong,Korando,9 février 2021,40000.0,Diesel,10.0,Blanc,4 x 4,Nabeul,Nabeul
"Sousse, Sousse",150000.0,2013.0,Citroen,C4,13 mars 2021,35000.0,Essence,7.0,Autre,Berline,Sousse,Sousse
"Ariana, Ennasr",160000.0,2007.0,Citroen,C3,11 mars 2021,18200.0,Essence,5.0,Gris,Manuelle,Ariana,Ennasr
"Sfax, Menzel Chaker",37000.0,1986.0,Renault,R4,17 février 2021,2500.0,Essence,4.0,Blanc,Autres,Sfax,Menzel Chaker
"Ben arous, Ben arous",135000.0,2009.0,Porsche,Cayenne,10 mars 2021,95000.0,Essence,21.0,Automatique,3.5,Ben arous,Ben arous
"Monastir, Autres villes",207435.0,2009.0,Volkswagen,Golf 5,1 mars 2021,29500.0,Diesel,6.0,Noir,Compacte,Monastir,Autres villes
"Sfax, Autres villes",246.0,2007.0,Renault,Megane,17 février 2021,20000.0,Diesel,6.0,Noir,Berline,Sfax,Autres villes
"Sfax, Sfax Médina",130.0,2017.0,Hyundai,I 10,10 mars 2021,33000.0,Essence,4.0,Blanc,Manuelle,Sfax,Sfax Médina
"Gafsa, Oum El Araies",294.0,2001.0,Peugeot,406,8 mars 2021,17500.0,Essence,7.0,Gris,Berline,Gafsa,Oum El Araies
"Sousse, Hammam Sousse",99000.0,2018.0,Citroen,C3,12 mars 2021,40000.0,Essence,4.0,Rouge,Compacte,Sousse,Hammam Sousse
"Ben arous, Medina Jedida",299.0,1995.0,Renault,Clio,2 mars 2021,10000.0,Essence,5.0,Rouge,Berline,Ben arous,Medina Jedida
"Tunis, Autres villes",180000.0,2011.0,Fiat,Grande Punto,9 mars 2021,19500.0,Essence,5.0,Noir,Compacte,Tunis,Autres villes
"Bizerte, Autres villes",85000.0,2013.0,Renault,Clio,18 février 2021,34800.0,Essence,5.0,Marron,Autres,Bizerte,Autres villes
"Sfax, Route Tunis",134000.0,2012.0,Renault,Megane,6 mars 2021,30000.0,Essence,7.0,Gris,Manuelle,Sfax,Route Tunis
"Sfax, Route Soukra",300000.0,1998.0,Peugeot,106,26 février 2021,11500.0,Essence,4.0,Bleu,Berline,Sfax,Route Soukra
"Tunis, La Marsa",69800.0,2008.0,Toyota,Prado,15 février 2021,150000.0,Diesel,11.0,Gris,4 x 4,Tunis,La Marsa
"Ben arous, Ezzahra",1.0,2007.0,Peugeot,Expert,2 mars 2021,13750.0,Diesel,8.0,Blanc,Utilitaire,Ben arous,Ezzahra
"Ariana, Ariana Ville",144.0,2009.0,Volkswagen,Polo,16 février 2021,19500.0,Essence,4.0,Bleu,Compacte,Ariana,Ariana Ville
"Ariana, Autres villes",80000.0,2018.0,Peugeot,Partner,24 février 2021,12000.0,Diesel,5.0,Utilitaire,Nouveau,Ariana,Autres villes
"Monastir, Autres villes",0.0,1991.0,Volkswagen,Polo,11 mars 2021,6200.0,Essence,5.0,Vert,Berline,Monastir,Autres villes
"Ariana, Autres villes",152000.0,2013.0,Ford,Fiesta,7 mars 2021,21500.0,Essence,5.0,Blanc,Compacte,Ariana,Autres villes
"Tunis, L'aouina",247000.0,2009.0,Volkswagen,Jetta,1 mars 2021,25000.0,Essence,7.0,Gris,Berline,Tunis,L'aouina
"Le kef, Tajerouine",1.0,2004.0,Fiat,Siena,7 mars 2021,15000.0,Essence,5.0,Noir,Compacte,Le kef,Tajerouine
"Tunis, Autres villes",356800.0,1998.0,Audi,80,6 mars 2021,8700.0,Essence,2.0,Nouveau,Manuelle,Tunis,Autres villes
"Tunis, L'aouina",300.0,2002.0,Volvo,S40,13 février 2021,16100.0,Essence,8.0,Violet,Utilitaire,Tunis,L'aouina
"Tunis, Tunis",120000.0,2015.0,Seat,Leon,3 mars 2021,47000.0,Essence,6.0,Noir,Compacte,Tunis,Tunis
"Ben arous, Ezzahra",0.0,2006.0,Volkswagen,Golf 5,12 février 2021,23800.0,Diesel,7.0,Gris,Compacte,Ben arous,Ezzahra
"Gabès, Autres villes",230000.0,2017.0,Chevrolet,Aveo,19 février 2021,21000.0,Essence,5.0,Noir,Autres,Gabès,Autres villes
"Ariana, Autres villes",80.0,2021.0,Kia,Rio,4 mars 2021,57000.0,Essence,4.0,Gris,Berline,Ariana,Autres villes
"Tunis, Autres villes",260000.0,2000.0,Renault,Clio,5 mars 2021,16800.0,Essence,4.0,Gris,Avec kilométrage,Tunis,Autres villes
"Sousse, Hammam Sousse",270000.0,2000.0,Volkswagen,Passat,4 mars 2021,17500.0,Essence,7.0,Bleu,Compacte,Sousse,Hammam Sousse
"Tunis, Autres villes",263097.0,1997.0,Citroen,AX,15 février 2021,8000.0,Essence,4.0,Blanc,Autres,Tunis,Autres villes
"Kairouan, Autres villes",243000.0,2011.0,Peugeot,Partner,10 mars 2021,22800.0,Diesel,3100.0,Blanc,Autres,Kairouan,Autres villes
"Tunis, Autres villes",322.0,2020.0,Audi,A3,11 mars 2021,1111.0,Diesel,5.0,Beige,Compacte,Tunis,Autres villes
"Tunis, Cité El Khadra",290000.0,2003.0,Volkswagen,Polo,6 février 2021,15000.0,Essence,4.0,Bleu,Compacte,Tunis,Cité El Khadra
"Médenine, Autres villes",173.0,2006.0,Renault,Clio,11 février 2021,19400.0,Essence,5.0,Gris,Cabriolet,Médenine,Autres villes
"Sousse, Sousse",196.0,2007.0,Fiat,Siena,8 mars 2021,11800.0,Essence,6.0,Noir,Avec kilométrage,Sousse,Sousse
"Zaghouan, Autres villes",263.0,2002.0,Volkswagen,Golf 4,13 mars 2021,21500.0,Essence,5.0,Gris,Berline,Zaghouan,Autres villes
"Monastir, Autres villes",350000.0,1990.0,Peugeot,205,24 février 2021,6000.0,Essence,4.0,Blanc,Compacte,Monastir,Autres villes
"Gafsa, Métlaoui",460000.0,1999.0,Nissan,primera,21 février 2021,9700.0,Essence,7.0,Noir,Autres,Gafsa,Métlaoui
"Tunis, La Marsa",120.0,2016.0,Seat,Leon,10 mars 2021,52000.0,Essence,6.0,Bleu,Berline,Tunis,La Marsa
"Ariana, Ghazela",132.0,2011.0,Audi,A4,10 mars 2021,32000.0,Essence,13.0,Blanc,Berline,Ariana,Ghazela
"Mahdia, Chorbane",180000.0,1998.0,Peugeot,205,20 février 2021,7900.0,Essence,4.0,Vert,Berline,Mahdia,Chorbane
"Tunis, Autres villes",198.0,2002.0,Opel,Corsa,28 février 2021,13500.0,Essence,4.0,Blanc,Autres,Tunis,Autres villes
